service_id,date,exception_type
fa343618-f0c9-4323-ab20-867cd279d1dc,20240301,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240302,1
0b390844-9953-4b97-b90b-025406946a27,20240303,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240304,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240305,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240306,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240307,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240308,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240309,1
0b390844-9953-4b97-b90b-025406946a27,20240310,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240311,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240312,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240313,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240314,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240315,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240316,1
0b390844-9953-4b97-b90b-025406946a27,20240317,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240318,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240319,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240320,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240321,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240322,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240323,1
0b390844-9953-4b97-b90b-025406946a27,20240324,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240325,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240326,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240327,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240328,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240329,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240330,1
84a181a9-bcea-4cf5-be21-883768b9fa7e,20240331,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240401,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240402,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240403,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240404,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240405,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240406,1
0b390844-9953-4b97-b90b-025406946a27,20240407,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240408,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240409,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240410,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240411,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240412,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240413,1
0b390844-9953-4b97-b90b-025406946a27,20240414,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240415,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240416,1
