shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
749cb9f5-1ea2-4301-9329-97882a5b9fb7,40.404807055283,-86.83535929533,43,9736.94
75b3621a-a10c-41d1-8a64-5281f7c33647,40.403083,-86.813864,4,1371.1
cc51be41-31c7-4cbc-ae01-e416cf0c5c41,40.403083,-86.813864,14,1388.6
5411caeb-1442-41aa-806e-7dd24ab1196c,40.403083,-86.813864,4,1369.22
a36ab8ce-df7e-4465-8382-d16340bf2cf9,40.4114723450823,-86.8771829829921,14,2401.87
8ef0cf95-edd8-4baa-a2a0-c53418be348b,40.4051195326519,-86.8964600203311,73,11102.95
e9c69f38-7aa0-4188-ab84-13c9534a2a75,40.388211,-86.87114,33,6602.75
7a080abe-31e5-4068-a553-2928a8743761,40.3915223598625,-86.8711130130594,29,5634.54
7a080abe-31e5-4068-a553-2928a8743761,40.4081598842922,-86.8767878979474,44,8602.29
89d30f4c-2c01-4497-b2e3-de416e4ccdaf,40.3855580329016,-86.8698891213679,25,4936.83
4d06a394-0bf1-4495-aa4b-248e7e992dc9,40.4363176486681,-86.9058303180832,27,5240.72
8be32f80-0150-4c6a-9f12-5d117e584036,40.4029482843249,-86.8413017297567,25,7382.99
041d584c-8d1e-40f2-962d-bb0231461d0d,40.4051839056721,-86.8933178122829,42,10761.74
544492c2-4a4c-408d-8a9d-a250c29ce5cb,40.4290434973862,-86.921574885939,11,2179.96
45708703-c5f6-4bd8-a9c9-55ac615984e1,40.4564690861982,-86.8758566305552,1,44.87
e8e0b073-78bd-4984-a677-7fab47b44868,40.4219061387721,-86.8893776470052,20,3816.1
040b3860-47b8-45f4-adad-95093f61b074,40.4684585343978,-86.9553793636593,17,3126.75
7a080abe-31e5-4068-a553-2928a8743761,40.3927697175246,-86.8720347772452,32,5835.24
b7ef4e53-829f-4e0a-aff9-a380007ff4d9,40.424254,-86.860709,28,5162.12
76983c84-a550-4ae5-9ebd-33e18e16f83d,40.4174711059017,-86.8641796329128,12,2873.15
b2fb5f23-4a20-4897-a615-38592c749669,40.4361781737911,-86.8621156729529,27,4457.01
76983c84-a550-4ae5-9ebd-33e18e16f83d,40.402366244934,-86.8053413513506,39,11015.99
b38b5b09-dead-4792-915f-cc5e1a19687e,40.4315953097652,-86.9268298003347,34,8770.93
a71242c1-4d9e-4544-b9fb-85a33be1459a,40.4189731430395,-86.8675458054272,14,2370.22
6c7d5bfc-2ad6-4f97-93ae-3c95c97bc7d5,40.41539,-86.8138,0,0
cc3bb77b-1bf1-454c-8569-4f64668caf8e,40.4504394468018,-86.9251100291712,32,1803.9
cc3bb77b-1bf1-454c-8569-4f64668caf8e,40.4305508750541,-86.9322246270475,89,6313.67
4188213e-63dd-4835-acef-6dea1dd88bc8,40.4353386423194,-86.9249517872901,15,2655.98
0ad88370-06b4-4430-8e2f-55c9b689648b,40.394007,-86.836989,16,2225.97
8e273d6c-292c-429a-90ea-17805a9f3ebb,40.417806,-86.836661,10,2232.23
b7ef4e53-829f-4e0a-aff9-a380007ff4d9,40.4213884724014,-86.8498834580114,16,3759.31
89d30f4c-2c01-4497-b2e3-de416e4ccdaf,40.3927578808865,-86.8720192358523,33,5901.5
fdb1f3d7-9bfc-4080-9744-eecba1f2f0d7,40.4242,-86.925359,5,1313.3
